id,ip,hora,duracion_min,n_peticiones,pct_rutas_privadas
241,192.168.5.40,23.99,50.84,15,0.648
98,192.168.2.158,12.59,10.16,52,0.063
107,192.168.3.184,14.24,3.59,25,0.035
198,192.168.2.160,11.25,4.4,136,0.018
82,192.168.2.225,12.91,7.1,36,0.056
239,192.168.1.20,4.35,4.08,132,0.018
65,192.168.2.60,3.63,13.66,31,0.053
129,192.168.1.128,9.49,4.41,60,0.021
35,192.168.2.148,8.55,15.59,23,0.033
258,192.168.4.219,22.41,53.25,13,0.592
191,192.168.4.224,18.8,0.94,130,0.024
71,192.168.1.127,8.93,7.16,31,0.067
228,192.168.1.56,21.24,2.29,151,0.024
242,192.168.2.131,23.99,60.63,10,0.603
141,192.168.1.195,15.63,7.34,74,0.072
188,192.168.4.34,3.55,0.87,155,0.019
105,192.168.1.90,9.65,6.17,26,0.046
64,192.168.4.10,13.08,12.66,60,0.078
63,192.168.2.226,16.02,13.47,36,0.046
84,192.168.3.73,10.95,6.79,21,0.066
54,192.168.1.42,10.57,3.95,63,0.03
22,192.168.3.21,9.96,5.98,32,0.074
146,192.168.2.146,9.71,15.53,34,0.044
256,192.168.1.229,23.32,55.18,16,0.969
246,192.168.3.191,22.09,52.23,13,1
213,192.168.1.115,0,0.9,81,0.014
41,192.168.3.204,0.92,5.97,32,0.049
155,192.168.3.48,19.94,4.43,45,0.074
172,192.168.5.152,11.57,6.88,39,0.05
237,192.168.4.43,20.19,0.75,155,0.023
12,192.168.3.140,17.55,3.24,29,0.037
231,192.168.1.185,14.86,2.6,129,0.033
73,192.168.2.172,14.95,6.0,52,0.08
178,192.168.0.20,12.28,8.12,46,0.051
47,192.168.0.137,11.3,6.17,16,0.08
93,192.168.0.162,8.77,9.31,46,0.064
95,192.168.2.18,11.09,3.16,59,0.054
78,192.168.0.242,13.04,8.38,33,0.06
113,192.168.2.98,8.65,5.54,23,0.058
210,192.168.2.213,6.71,2.37,169,0.028
159,192.168.5.202,8.48,11.97,18,0.054
37,192.168.5.223,10.75,10.67,63,0.028
139,192.168.0.129,7.24,6.65,44,0.034
20,192.168.1.168,10.46,5.02,27,0.054
160,192.168.0.155,7.52,8.44,28,0.052
214,192.168.5.96,11.84,1.45,97,0.021
21,192.168.5.56,9.52,5.87,56,0.033
88,192.168.4.13,10.87,5.28,20,0.037
187,192.168.3.156,12.97,0.77,105,0.014
249,192.168.2.19,22.25,57.22,16,0.616
212,192.168.2.188,12.11,2.83,132,0.027
177,192.168.3.218,10.63,6.18,51,0.049
185,192.168.0.216,13.16,1.39,148,0.026
109,192.168.0.112,10.81,8.51,32,0.045
179,192.168.2.210,15.23,10.29,63,0.037
145,192.168.2.112,5.6,0.5,12,0.063
11,192.168.1.104,13.59,11.25,34,0.056
97,192.168.2.118,9.86,11.06,18,0.05
164,192.168.4.234,7.86,10.6,41,0.063
26,192.168.2.98,3.97,2.6,31,0.036
4,192.168.4.46,13.62,2.64,43,0.066
72,192.168.1.81,14.46,10.42,55,0.044
148,192.168.3.158,9.66,4.8,24,0.039
59,192.168.0.173,9.3,9.67,41,0.058
24,192.168.2.226,11.88,4.4,50,0.045
61,192.168.1.67,12.41,10.72,50,0.054
220,192.168.4.106,4.14,1.34,70,0.021
247,192.168.3.209,22.73,40.24,8,0.802
80,192.168.5.232,8.85,10.3,58,0.032
18,192.168.3.211,10.19,7.52,43,0.065
43,192.168.0.236,13.62,8.2,39,0.058
96,192.168.4.217,9.45,8.26,35,0.067
3,192.168.2.231,7.87,8.21,32,0.043
33,192.168.0.190,11.63,2.38,30,0.042
174,192.168.1.247,11.7,11.09,27,0.049
102,192.168.2.182,11.42,5.51,58,0.066
131,192.168.5.245,8.43,6.67,52,0.031
211,192.168.3.18,12.85,1.46,152,0.008
66,192.168.1.41,7.86,9.37,29,0.041
235,192.168.2.3,11.98,2.01,108,0.014
29,192.168.3.169,11.08,3.3,14,0.066
190,192.168.0.35,12.05,0.5,108,0.018
224,192.168.5.233,23.99,3.34,112,0.019
204,192.168.2.153,21.63,1.95,62,0.023
166,192.168.1.14,7.67,12.96,69,0.046
255,192.168.1.102,23.99,50.49,19,0.937
92,192.168.5.46,11.66,9.47,41,0.038
162,192.168.4.94,8.48,1.63,54,0.05
51,192.168.0.190,15.28,4.6,28,0.055
117,192.168.2.34,9.68,8.86,18,0.013
10,192.168.0.162,13.16,12.01,9,0.067
5,192.168.2.121,7.15,14.17,14,0.045
34,192.168.3.15,16.44,7.98,43,0.052
199,192.168.3.4,12.08,0.79,108,0.031
209,192.168.4.54,15.86,2.32,81,0.023
227,192.168.3.187,13.94,2.74,80,0.021
158,192.168.2.215,11.91,5.11,47,0.025
194,192.168.5.40,14.69,3.13,119,0.023
217,192.168.1.5,18.96,1.58,140,0.015
58,192.168.0.213,8.94,6.37,33,0.062
240,192.168.4.112,8.81,1.32,79,0.018
108,192.168.4.217,14.96,7.0,17,0.041
203,192.168.3.190,0,1.92,130,0.008
57,192.168.1.91,10.56,9.48,34,0.053
19,192.168.2.10,6.85,11.61,30,0.048
221,192.168.4.81,1.55,3.03,119,0.019
69,192.168.4.223,10.82,12.35,31,0.034
132,192.168.3.182,10.69,11.58,33,0.051
175,192.168.1.184,8.97,8.71,40,0.032
